keyword,category,tier
Iran war,conflict name,core
2026 Iran war,conflict name,core
Iran conflict,conflict name,core
US-Iran war,conflict name,core
Iran-Israel war,conflict name,core
US-Israel war on Iran,conflict name,core
war with Iran,conflict name,core
war in Iran,conflict name,core
war on Iran,conflict name,core
Iran crisis,conflict name,core
Middle East war,conflict name,core
Middle East crisis,conflict name,core
Middle East conflict,conflict name,related
Middle Eastern crisis,conflict name,related
Operation Epic Fury,conflict name,core
Epic Fury,conflict name,core
Iran airstrikes,military operations,core
airstrikes on Iran,military operations,core
airstrikes against Iran,military operations,core
strikes on Iran,military operations,core
bombing Iran,military operations,core
bombing of Iran,military operations,core
attack on Iran,military operations,core
attacks on Iran,military operations,core
Iran bombing,military operations,core
Iran strikes,military operations,core
Iran attacks,military operations,core
Iran retaliation,military operations,core
Iranian retaliation,military operations,core
retaliatory strikes,military operations,related
missile strikes,military operations,related
drone strikes,military operations,related
cruise missiles,military operations,related
Tomahawk missiles,military operations,related
HIMARS,military operations,related
ballistic missiles,military operations,related
Iranian missiles,military operations,core
Iranian drones,military operations,core
drone attacks,military operations,related
missile attacks,military operations,related
missile barrage,military operations,related
air campaign,military operations,related
air war,military operations,related
bombardment,military operations,related
sorties,military operations,contextual
precision strikes,military operations,related
targeted strikes,military operations,related
military strikes,military operations,related
ground invasion,military operations,related
escalation,military operations,related
military escalation,military operations,related
de-escalation,military operations,related
ceasefire,diplomacy and negotiations,core
Iran ceasefire,diplomacy and negotiations,core
ceasefire agreement,diplomacy and negotiations,core
ceasefire violation,diplomacy and negotiations,core
ceasefire extension,diplomacy and negotiations,core
truce,diplomacy and negotiations,core
temporary ceasefire,diplomacy and negotiations,core
conditional ceasefire,diplomacy and negotiations,core
Islamabad Talks,diplomacy and negotiations,core
Islamabad negotiations,diplomacy and negotiations,core
peace talks,diplomacy and negotiations,core
Iran talks,diplomacy and negotiations,core
Iran negotiations,diplomacy and negotiations,core
Iran deal,diplomacy and negotiations,core
nuclear deal,diplomacy and negotiations,core
JCPOA,diplomacy and negotiations,core
nuclear agreement,diplomacy and negotiations,related
diplomatic solution,diplomacy and negotiations,related
peace process,diplomacy and negotiations,related
